;;Nuolatiniu gyventoju skaicius metu pradzioje;;
Vieta;Data;Visi;Vyrai;Moterys
Lietuvos Respublika;2003;3431497;1601098;1830399
Lietuvos Respublika;2004;3398929;1584018;1814911
Lietuvos Respublika;2005;3355220;1562264;1792956
Lietuvos Respublika;2006;3289835;1528463;1761372
Lietuvos Respublika;2007;3249983;1506794;1743189
Lietuvos Respublika;2008;3212605;1487419;1725186
Lietuvos Respublika;2009;3183856;1473352;1710504
Lietuvos Respublika;2010;3141976;1450199;1691777
Lietuvos Respublika;2011;3052588;1407223;1645365
Lietuvos Respublika;2012;3003641;1383511;1620130
Lietuvos Respublika;2013;2971905;1368891;1603014
Lietuvos Respublika;2014;2943472;1355995;1587477
Lietuvos Respublika;2015;2921262;1346257;1575005
Kauno m. sav.;2003;370242;166796;203446
Kauno m. sav.;2004;363952;163690;200262
Kauno m. sav.;2005;356954;160453;196501
Kauno m. sav.;2006;348506;156414;192092
Kauno m. sav.;2007;343932;154026;189906
Kauno m. sav.;2008;339535;151817;187718
Kauno m. sav.;2009;335393;149678;185715
Kauno m. sav.;2010;329542;146395;183147
Kauno m. sav.;2011;317319;140490;176829
Kauno m. sav.;2012;310773;137178;173595
Kauno m. sav.;2013;306888;135230;171658
Kauno m. sav.;2014;304012;133711;170301
Kauno m. sav.;2015;301357;132380;168977
Klaipedos m. sav.;2003;189526;87745;101781
Klaipedos m. sav.;2004;186811;86303;100508
Klaipedos m. sav.;2005;183627;84614;99013
Klaipedos m. sav.;2006;178380;82126;96254
Klaipedos m. sav.;2007;175389;80607;94782
Klaipedos m. sav.;2008;172686;79259;93427
Klaipedos m. sav.;2009;170699;78207;92492
Klaipedos m. sav.;2010;168134;76747;91387
Klaipedos m. sav.;2011;162898;74086;88812
Klaipedos m. sav.;2012;160142;72654;87488
Klaipedos m. sav.;2013;158541;71892;86649
Klaipedos m. sav.;2014;157305;71163;86142
Klaipedos m. sav.;2015;156141;70563;85578
Panevezio m. sav.;2003;116925;53045;63880
Panevezio m. sav.;2004;114917;52078;62839
Panevezio m. sav.;2005;112543;50901;61642
Panevezio m. sav.;2006;109901;49518;60383
Panevezio m. sav.;2007;108314;48650;59664
Panevezio m. sav.;2008;106495;47790;58705
Panevezio m. sav.;2009;104793;46885;57908
Panevezio m. sav.;2010;103101;45927;57174
Panevezio m. sav.;2011;100027;44432;55595
Panevezio m. sav.;2012;98469;43640;54829
Panevezio m. sav.;2013;97343;43029;54314
Panevezio m. sav.;2014;96328;42597;53731
Panevezio m. sav.;2015;95202;42004;53198
Siauliu m. sav.;2003;130366;59110;71256
Siauliu m. sav.;2004;127805;57805;70000
Siauliu m. sav.;2005;125360;56517;68843
Siauliu m. sav.;2006;122236;54917;67319
Siauliu m. sav.;2007;120272;53970;66302
Siauliu m. sav.;2008;117829;52751;65078
Siauliu m. sav.;2009;116196;51944;64252
Siauliu m. sav.;2010;114506;51048;63458
Siauliu m. sav.;2011;109748;48756;60992
Siauliu m. sav.;2012;107689;47683;60006
Siauliu m. sav.;2013;106470;47133;59337
Siauliu m. sav.;2014;105610;46756;58854
Siauliu m. sav.;2015;104569;46136;58433
Vilniaus m. sav.;2003;550213;250346;299867
Vilniaus m. sav.;2004;548729;249384;299345
Vilniaus m. sav.;2005;546773;248292;298481
Vilniaus m. sav.;2006;542525;246032;296493
Vilniaus m. sav.;2007;541732;245118;296614
Vilniaus m. sav.;2008;541596;244449;297147
Vilniaus m. sav.;2009;542969;244653;298316
Vilniaus m. sav.;2010;543191;243763;299428
Vilniaus m. sav.;2011;536127;240186;295941
Vilniaus m. sav.;2012;533279;238785;294494
Vilniaus m. sav.;2013;537152;240662;296490
Vilniaus m. sav.;2014;539707;241732;297975
Vilniaus m. sav.;2015;542626;243206;299420
