Metai;Data;Vieta;Visi_ivykiai;Del_neblaiviu_vairuotoju_kaltes;Suzeistieji;Zuvusieji
2009;2009M01;Lietuvos Respublika;262;17;303;28
2009;2009M01;Alytaus apskritis;13;0;12;3
2009;2009M01;Alytaus m. sav.;7;0;8;0
2009;2009M01;Alytaus r. sav.;1;0;0;1
2009;2009M01;Druskininku sav.;1;0;2;0
2009;2009M01;Lazdiju r. sav.;3;0;1;2
2009;2009M01;Varenos r. sav.;1;0;1;0
2009;2009M01;Kauno apskritis;74;5;85;4
2009;2009M01;Birstono sav.;1;0;1;0
2009;2009M01;Jonavos r. sav.;6;1;7;0
2009;2009M01;Kaisiadoriu r. sav.;3;1;2;1
2009;2009M01;Kauno m. sav.;42;1;51;0
2009;2009M01;Kauno r. sav.;13;0;15;0
2009;2009M01;Kedainiu r. sav.;5;1;5;1
2009;2009M01;Prienu r. sav.;2;0;2;2
2009;2009M01;Raseiniu r. sav.;2;1;2;0
2009;2009M01;Klaipedos apskritis;32;2;40;2
2009;2009M01;Klaipedos m. sav.;19;1;20;1
2009;2009M01;Klaipedos r. sav.;6;0;9;0
2009;2009M01;Kretingos r. sav.;3;0;7;0
2009;2009M01;Neringos sav.;0;0;0;0
2009;2009M01;Palangos m. sav.;0;0;0;0
2009;2009M01;Skuodo r. sav.;0;0;0;0
2009;2009M01;silutes r. sav.;4;1;4;1
2009;2009M01;Marijampoles apskritis;17;3;19;3
2009;2009M01;Kalvarijos sav.;2;0;2;0
2009;2009M01;Kazlu Rudos sav.;2;1;2;0
2009;2009M01;Marijampoles sav.;7;1;6;1
2009;2009M01;Marijampoles r. sav.;0;0;0;0
2009;2009M01;sakiu r. sav.;3;0;3;2
2009;2009M01;Vilkaviskio r. sav.;3;1;6;0
2009;2009M01;Panevezio apskritis;17;0;25;4
2009;2009M01;Birzu r. sav.;1;0;1;0
2009;2009M01;Kupiskio r. sav.;2;0;3;0
2009;2009M01;Panevezio m. sav.;10;0;13;0
